Period,Amplitude,kfᴸᴬ,krᴸᴬ,kfᴸᴷ,krᴸᴷ,kcatᴸᴷ,kfᴸᴾ,krᴸᴾ,kcatᴸᴾ,kfᴬᴷ,krᴬᴷ,kfᴬᴾ,krᴬᴾ,DF,L,K,P,A,Kdᴸᴬ,Kdᴬᴷ,Kdᴬᴾ,Kmᴸᴷ,Kmᴸᴾ
697.7,0.63884,3.76749,4.2654,0.001,2.31021,17.52358,19.26452,37.22395,0.48598,10.81227,0.001,57.65968,0.04766,500.0,14.27848,6.32737,4.60953,4.65512,1.13216,9.0e-5,0.00083,19833.79196,1.95748
138.36667,0.53865,9.59967,33.83128,0.00436,16.47592,370.53957,5.59125,54.91053,59.52334,88.17898,0.01214,8.16742,0.00634,1000.0,6.97373,1.71053,0.11782,0.7596,3.52421,0.00014,0.00078,88770.31956,20.4666
735.3,0.81788,0.32678,1.48184,0.001,0.001,125.97896,1.69121,1.376,5.04442,60.05484,0.93105,0.01781,0.001,500.0,71.0755,57.36124,10.76254,10.74958,4.53463,0.0155,0.05614,125979.95918,3.79634
883.7,0.7096,51.66928,2.66277,0.001,152.97991,0.91821,5.64866,2.03481,0.68588,30.82209,0.001,3.13461,0.001,1000.0,53.55893,83.43744,7.84141,11.96053,0.05153,3.0e-5,0.00032,153898.11808,0.48165
589.7,0.89485,1.02656,2.2366,0.001,84.92351,88.93896,0.41575,0.001,0.39444,0.75286,0.1928,0.001,0.00125,500.0,33.14202,6.5797,6.06989,5.98782,2.17874,0.25609,1.25334,173862.468,0.95117
462.05,0.50268,3.14617,1.00205,0.001,448.95681,161.26829,1.25744,0.16767,0.66931,0.001,0.001,1.33433,0.36612,1000.0,41.5062,98.20585,14.84518,11.54582,0.3185,1.0,0.27439,610225.09242,0.66562
764.5,0.90353,3.91941,1.37346,0.001,12.52164,928.03633,4.32227,0.76026,0.53697,3.84001,1.001,0.001,0.001,1000.0,10.24475,1.51817,0.81194,0.40797,0.35043,0.26068,1.0,940557.97131,0.30013
654.45,0.74373,14.22715,1.29626,0.001,0.001,255.91493,0.7133,0.00669,0.34429,37.65573,92.13527,0.001,0.001,500.0,3.25315,3.98772,0.71918,1.33941,0.09111,2.44678,1.0,255915.93301,0.49205
906.9,0.79558,5.59653,1.76983,0.001,427.42754,43.184,9.03286,0.12606,176.64566,43.20751,1.37903,0.51821,0.001,1000.0,21.37471,52.80295,0.01,0.80871,0.31624,0.03192,0.00193,470611.54286,19.56985
87.195,0.41508,50.27649,4.93105,0.0029,614.96074,103.60445,13.86576,0.00159,61.61616,0.03856,0.00114,0.12587,0.00177,500.0,75.81507,67.55662,1.04263,1.25983,0.09808,0.02962,0.01406,248004.7623,4.44388
793.4,0.61786,0.74577,2.37531,0.001,11.88479,234.31236,55.96828,317.04102,1.43346,3.57877,1.1688,0.001,0.001,1000.0,12.23048,5.70812,2.93078,1.0409,3.18503,0.32659,1.0,246197.14962,5.69027
5.97043,0.49167,69.02011,31.97996,0.001,0.58433,666.25797,2.93876,2.12698,2.06036,0.29267,0.876,0.87455,2.04673,500.0,63.40046,4.45181,2.31787,1.94917,0.46334,2.99317,2.34031,666842.30238,1.42487
225.72857,0.53805,7.01003,0.37812,0.001,0.65395,301.93042,4.73755,2.29879,0.61874,0.001,0.00376,1.22661,1.22797,1000.0,17.3564,2.90222,2.14336,1.3142,0.05394,3.75978,1.0011,302584.37207,0.61583
539.8,0.70606,15.90555,0.54885,0.001,0.27031,3.01037,0.42249,0.001,0.33951,59.18038,56.7753,0.001,0.001,500.0,3.48679,1.03363,0.6079,0.52011,0.03451,0.95936,1.0,3280.68123,0.80596
725.7,0.5953,2.98341,1.01679,0.001,6.58246,88.01256,7.51496,6.00848,0.55483,14.9306,0.00231,0.19563,0.00104,500.0,3.50387,1.22597,0.96022,0.48418,0.34082,0.00015,0.00529,94595.02005,0.87336
